acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist
0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,0.286,Mask Off,Future
0.199,0.743,0.359,0.00611,0.137,-10.401,0.0794,160.083,0.588,Redbone,Childish Gambino
0.0344,0.838,0.412,0.000234,0.159,-7.148,0.289,75.044,0.173,Xanny Family,Future
0.604,0.494,0.338,0.51,0.0922,-15.236,0.0261,86.468,0.23,Master Of None,Beach House
0.18,0.678,0.561,0.512,0.439,-11.648,0.0694,174.004,0.904,Parallel Lines,Junior Boys
0.00479,0.804,0.56,0,0.164,-6.682,0.185,85.023,0.264,Sneakin’,Drake
0.0145,0.739,0.472,7.27E-06,0.207,-11.204,0.156,80.03,0.308,Childs Play,Drake
0.0202,0.266,0.348,0.664,0.16,-11.609,0.0371,144.154,0.393,Gyöngyhajú lány,Omega
0.0481,0.603,0.944,0,0.342,-3.626,0.347,130.035,0.398,I've Seen Footage,Death Grips
0.00208,0.836,0.603,0,0.571,-7.792,0.237,99.994,0.386,Digital Animal,Honey Claws
0.0572,0.525,0.855,0.0143,0.649,-7.372,0.0548,111.951,0.524,Subways - In Flagranti Extended Edit,The Avalanches
0.0915,0.753,0.748,0.00348,0.212,-8.62,0.0494,104.322,0.642,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
0.253,0.603,0.434,0.0619,0.108,-11.062,0.0342,127.681,0.381,Cemalim,Erkin Koray
0.366,0.762,0.476,0,0.103,-12.686,0.114,130.007,0.367,One Night,Lil Yachty
0.44,0.662,0.603,0,0.0972,-8.317,0.0793,125.011,0.351,Oh lala,PNL
0.019,0.637,0.832,0.0563,0.316,-6.637,0.163,99.988,0.317,Char,Crystal Castles
0.0239,0.603,0.955,0.0451,0.119,-4.111,0.0458,123.922,0.773,World In Motion,New Order
0.233,0.789,0.659,0.00049,0.184,-12.654,0.0429,122.415,0.842,One Nation Under a Groove,Funkadelic
0.314,0.713,0.611,0,0.117,-6.702,0.241,140.061,0.783,Bouncin,Chief Keef
0.0242,0.735,0.759,0.185,0.0966,-6.914,0.0449,109.982,0.763,C O O L - Radio Edit,Le Youth
0.000702,0.854,0.719,0.308,0.428,-9.335,0.0655,128.049,0.471,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
0.00024,0.747,0.74,0.369,0.0995,-4.134,0.0323,130.031,0.77,House of Jealous Lovers,The Rapture
0.118,0.854,0.401,0,0.527,-8.553,0.395,139.922,0.441,Imma Ride,Young Thug
0.000596,0.224,0.925,1.35E-06,0.0663,-1.71,0.0834,138.022,0.364,Girlfriend,Ty Segall
0.279,0.512,0.564,1.54E-05,0.133,-5.892,0.0316,94.498,0.401,If I Gave You My Love,Myron & E
0.00219,0.781,0.795,0.269,0.0673,-6.758,0.036,109.977,0.795,This Ready Flesh,TR/ST
0.341,0.411,0.684,1.42E-06,0.198,-6.889,0.383,110.016,0.598,Lose My Mind,A-Trak
0.018,0.646,0.837,0.0403,0.316,-6.615,0.134,100.04,0.32,Char,Crystal Castles
0.0516,0.782,0.572,0,0.33,-7.467,0.0385,120.021,0.237,Look Alive,Rae Sremmurd
0.282,0.735,0.4,0.125,0.0811,-12.766,0.102,129.004,0.326,Please Stop Making Fake Versace,Father
0.00791,0.45,0.449,0,0.173,-12.037,0.156,135.45,0.137,Milly Rock,2milly
0.0219,0.897,0.642,1.31E-06,0.159,-8.828,0.0534,127.984,0.27,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
0.0358,0.959,0.598,0,0.358,-5.534,0.0713,127.029,0.424,Best Friend,Young Thug
0.0324,0.742,0.559,0,0.0987,-5.876,0.141,146.923,0.429,Hercules,Young Thug
0.118,0.805,0.687,0,0.0842,-7.771,0.0458,119.999,0.683,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
0.0428,0.667,0.581,0,0.183,-5.164,0.323,110.953,0.372,Check,Young Thug
0.297,0.722,0.823,0,0.489,-3.916,0.081,148.23,0.855,Poppin' My Collar,Three 6 Mafia
0.0565,0.853,0.547,0,0.341,-7.535,0.194,142.065,0.677,Jumpman,Drake
0.0128,0.747,0.705,0,0.126,-5.137,0.126,136.024,0.571,11-Jul,Beyoncé
0.135,0.777,0.591,5.50E-05,0.126,-7.431,0.0327,124.111,0.848,Somebody's Watching Me,Rockwell
0.00041,0.731,0.852,0.625,0.358,-6.08,0.0476,125.008,0.622,Bang That,Disclosure
0.00356,0.76,0.402,0,0.333,-8.751,0.164,147.028,0.069,I Don't Sell Molly No More,ILoveMakonnen
0.00156,0.624,0.792,1.54E-06,0.0772,-5.33,0.0473,139.94,0.318,Versace Python,Riff Raff
0.00243,0.621,0.683,0.00856,0.525,-5.619,0.242,124.283,0.0891,Monster,Kanye West
0.533,0.64,0.819,0,0.156,-4.108,0.455,166.012,0.624,OOOUUU,Young M.A.
0.00631,0.715,0.833,0,0.164,-5.379,0.108,95.487,0.607,Return Of The Mack - C & J Street Mix,Mark Morrison
0.00182,0.7,0.756,0.711,0.0575,-10.714,0.0575,114.28,0.947,Fantastic Man,William Onyeabor
0.0923,0.789,0.494,0.000408,0.144,-13.702,0.0456,104.593,0.832,Right Place Wrong Time,Dr. John
0.375,0.796,0.86,0.00457,0.0745,-6.202,0.0653,129.008,0.973,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
0.183,0.716,0.957,0.058,0.182,-4.814,0.0689,106.714,0.93,Odofo Nyi Akyiri Biara,Ebo Taylor
0.0185,0.74,0.846,0.0624,0.254,-6.039,0.0808,95.995,0.852,Annie,Neon Indian
0.0638,0.7,0.84,0.112,0.141,-6.227,0.0292,132.475,0.745,The Chase,Future Islands
0.456,0.514,0.453,0.000181,0.178,-7.062,0.0267,75.548,0.532,Coming Home,Leon Bridges
0.128,0.313,0.77,0.0787,0.0873,-7.265,0.0335,74.749,0.186,Wishes,Beach House
0.246,0.676,0.528,0,0.0803,-8.699,0.0366,130.073,0.301,White Iverson,Post Malone
0.12,0.532,0.596,0,0.504,-9.912,0.187,119.296,0.486,I Know There's Gonna Be (Good Times),Jamie xx
0.00426,0.646,0.629,0.277,0.122,-10.775,0.0427,109.013,0.176,Loud Places,Jamie xx
0.193,0.598,0.252,0.138,0.0992,-15.086,0.0647,120.06,0.0359,L$D,A$AP Rocky
0.0174,0.754,0.442,9.40E-05,0.0622,-8.873,0.127,148.04,0.599,Dopeman,Vince Staples
0.000392,0.294,0.786,0.865,0.272,-3.626,0.0378,81.108,0.136,California Nights,Best Coast
0.435,0.622,0.253,0.471,0.0941,-14.36,0.0331,92.584,0.328,Baby,Ariel Pink's Haunted Graffiti
